insectID,plant,instar,day,status
12,TOH,unknown,63,1
13,TOH,unknown,63,1
14,TOH,unknown,63,1
15,TOH,unknown,63,1
16,TOH,unknown,63,1
17,TOH,unknown,63,1
18,TOH,unknown,63,1
19,TOH,unknown,63,1
20,TOH,unknown,63,1
21,TOH,unknown,63,1
22,TOH,unknown,63,1
23,TOH,1st instar,63,1
24,TOH,1st instar,63,1
25,TOH,1st instar,63,1
26,TOH,1st instar,63,1
27,TOH,1st instar,63,1
28,TOH,1st instar,63,1
29,TOH,1st instar,63,1
30,TOH,1st instar,63,1
1,TOH,3rd instar,70,0
2,TOH,4th instar,70,0
3,TOH,4th instar,70,0
4,TOH,4th instar,70,0
5,TOH,4th instar,70,0
6,TOH,unknown,70,1
7,TOH,unknown,70,1
8,TOH,unknown,70,1
9,TOH,unknown,70,1
10,TOH,unknown,70,1
11,TOH,unknown,70,1
12,TOH,unknown,70,1
13,TOH,unknown,70,1
14,TOH,unknown,70,1
15,TOH,unknown,70,1
16,TOH,unknown,70,1
17,TOH,unknown,70,1
18,TOH,unknown,70,1
19,TOH,unknown,70,1
20,TOH,unknown,70,1
21,TOH,unknown,70,1
22,TOH,unknown,70,1
23,TOH,1st instar,70,1
24,TOH,1st instar,70,1
25,TOH,1st instar,70,1
26,TOH,1st instar,70,1
27,TOH,1st instar,70,1
28,TOH,1st instar,70,1
29,TOH,1st instar,70,1
30,TOH,1st instar,70,1
1,TOH,4th instar,77,0
2,TOH,4th instar,77,0
3,TOH,4th instar,77,0
4,TOH,4th instar,77,0
5,TOH,unknown,77,1
6,TOH,unknown,77,1
7,TOH,unknown,77,1
8,TOH,unknown,77,1
9,TOH,unknown,77,1
10,TOH,unknown,77,1
11,TOH,unknown,77,1
12,TOH,unknown,77,1
13,TOH,unknown,77,1
14,TOH,unknown,77,1
15,TOH,unknown,77,1
16,TOH,unknown,77,1
17,TOH,unknown,77,1
18,TOH,unknown,77,1
19,TOH,unknown,77,1
20,TOH,unknown,77,1
21,TOH,unknown,77,1
22,TOH,unknown,77,1
23,TOH,1st instar,77,1
24,TOH,1st instar,77,1
25,TOH,1st instar,77,1
26,TOH,1st instar,77,1
27,TOH,1st instar,77,1
28,TOH,1st instar,77,1
29,TOH,1st instar,77,1
30,TOH,1st instar,77,1
1,TOH,4th instar,84,0
2,TOH,4th instar,84,0
3,TOH,4th instar,84,0
4,TOH,4th instar,84,1
5,TOH,unknown,84,1
6,TOH,unknown,84,1
7,TOH,unknown,84,1
8,TOH,unknown,84,1
9,TOH,unknown,84,1
10,TOH,unknown,84,1
11,TOH,unknown,84,1
12,TOH,unknown,84,1
13,TOH,unknown,84,1
14,TOH,unknown,84,1
15,TOH,unknown,84,1
16,TOH,unknown,84,1
17,TOH,unknown,84,1
18,TOH,unknown,84,1
19,TOH,unknown,84,1
20,TOH,unknown,84,1
21,TOH,unknown,84,1
22,TOH,unknown,84,1
23,TOH,1st instar,84,1
24,TOH,1st instar,84,1
25,TOH,1st instar,84,1
26,TOH,1st instar,84,1
27,TOH,1st instar,84,1
28,TOH,1st instar,84,1
29,TOH,1st instar,84,1
30,TOH,1st instar,84,1
1,TOH,4th instar,91,0
2,TOH,4th instar,91,0
3,TOH,4th instar,91,1
4,TOH,4th instar,91,1
5,TOH,unknown,91,1
6,TOH,unknown,91,1
7,TOH,unknown,91,1
8,TOH,unknown,91,1
9,TOH,unknown,91,1
10,TOH,unknown,91,1
11,TOH,unknown,91,1
12,TOH,unknown,91,1
13,TOH,unknown,91,1
14,TOH,unknown,91,1
15,TOH,unknown,91,1
16,TOH,unknown,91,1
17,TOH,unknown,91,1
18,TOH,unknown,91,1
19,TOH,unknown,91,1
20,TOH,unknown,91,1
21,TOH,unknown,91,1
22,TOH,unknown,91,1
23,TOH,1st instar,91,1
24,TOH,1st instar,91,1
25,TOH,1st instar,91,1
26,TOH,1st instar,91,1
27,TOH,1st instar,91,1
28,TOH,1st instar,91,1
29,TOH,1st instar,91,1
30,TOH,1st instar,91,1
1,TOH,4th instar,98,0
2,TOH,4th instar,98,1
3,TOH,4th instar,98,1
4,TOH,4th instar,98,1
5,TOH,unknown,98,1
6,TOH,unknown,98,1
7,TOH,unknown,98,1
8,TOH,unknown,98,1
9,TOH,unknown,98,1
10,TOH,unknown,98,1
11,TOH,unknown,98,1
12,TOH,unknown,98,1
13,TOH,unknown,98,1
14,TOH,unknown,98,1
15,TOH,unknown,98,1
16,TOH,unknown,98,1
17,TOH,unknown,98,1
18,TOH,unknown,98,1
19,TOH,unknown,98,1
20,TOH,unknown,98,1
21,TOH,unknown,98,1
22,TOH,unknown,98,1
23,TOH,1st instar,98,1
24,TOH,1st instar,98,1
25,TOH,1st instar,98,1
26,TOH,1st instar,98,1
27,TOH,1st instar,98,1
28,TOH,1st instar,98,1
29,TOH,1st instar,98,1
30,TOH,1st instar,98,1
1,TOH,4th instar,105,1
2,TOH,4th instar,105,1
3,TOH,4th instar,105,1
4,TOH,4th instar,105,1
5,TOH,unknown,105,1
6,TOH,unknown,105,1
7,TOH,unknown,105,1
8,TOH,unknown,105,1
9,TOH,unknown,105,1
10,TOH,unknown,105,1
11,TOH,unknown,105,1
12,TOH,unknown,105,1
13,TOH,unknown,105,1
14,TOH,unknown,105,1
15,TOH,unknown,105,1
16,TOH,unknown,105,1
17,TOH,unknown,105,1
18,TOH,unknown,105,1
19,TOH,unknown,105,1
20,TOH,unknown,105,1
21,TOH,unknown,105,1
22,TOH,unknown,105,1
23,TOH,1st instar,105,1
24,TOH,1st instar,105,1
25,TOH,1st instar,105,1
26,TOH,1st instar,105,1
27,TOH,1st instar,105,1
28,TOH,1st instar,105,1
29,TOH,1st instar,105,1
30,TOH,1st instar,105,1
